name,county,lat,lon,elevation_m,distance_km,bearing_deg,predicted,observed,photo,note
Gilpin Peak,Ouray,37.98633,-107.79326,4164.0,31.9,2.0,visible,,,
Mount Sneffels,Ouray,38.00384,-107.79227,4293.0,33.8,2.0,visible,,,
Teakettle Mountain,Ouray,38.00048,-107.76152,4178.0,33.7,7.0,hidden,,,
Potosi Peak,Ouray,37.98979,-107.74928,4197.0,32.6,9.0,hidden,,,
Wetterhorn Peak,Hinsdale,38.06061,-107.51088,4264.0,47.8,33.0,visible,,,
Uncompahgre Peak,Hinsdale,38.07145,-107.46253,4353.0,51.2,36.0,visible,,,
Handies Peak,Hinsdale,37.91296,-107.50445,4274.0,35.6,48.0,visible,,,
Jones Mountain,San Juan,37.8965,-107.5265,4205.0,33.0,48.0,visible,,,
Niagara Peak,San Juan,37.88925,-107.53351,4199.0,32.0,49.0,visible,,,
American Peak,Hinsdale,37.89942,-107.51248,4190.0,34.1,49.0,visible,,,
Redcloud Peak,Hinsdale,37.94099,-107.42173,4263.0,43.2,52.0,visible,,,
Sunshine Peak,Hinsdale,37.92272,-107.42556,4254.0,41.7,53.0,visible,,,
Half Peak,Hinsdale,37.86414,-107.46657,4216.0,35.1,58.0,visible,,,
Pole Creek Mountain,Hinsdale,37.79598,-107.43112,4178.0,34.8,72.0,visible,,,
Arrow Peak,San Juan,37.6928,-107.61014,4189.0,17.3,92.0,visible,,,
Rio Grande Pyramid,Hinsdale,37.67953,-107.39235,4202.0,36.6,93.0,hidden,,,
Vestal Peak,San Juan,37.68937,-107.60268,4201.0,18.0,93.0,visible,,,
Trinity Peaks,San Juan,37.68494,-107.58122,4177.0,19.9,95.0,visible,,,
Storm King Peak,San Juan,37.67644,-107.55951,4166.0,21.9,97.0,visible,,,
Jagged Mountain,San Juan,37.64557,-107.58394,4175.0,20.5,107.0,visible,,,
Animas Mountain,San Juan,37.64314,-107.6292,4182.0,16.8,112.0,visible,,,
Sunlight Peak,La Plata,37.62728,-107.5958,4261.0,20.2,113.0,visible,,,
Windom Peak,La Plata,37.62131,-107.59176,4261.0,20.8,114.0,hidden,,,
Glacier Point,La Plata,37.62602,-107.61437,4165.0,18.8,116.0,hidden,,,
North Eolus,La Plata,37.62544,-107.62103,4256.0,18.3,117.0,visible,,,
Jupiter Mountain,La Plata,37.61243,-107.59199,4197.0,21.2,117.0,hidden,,,
Pigeon Peak,La Plata,37.63237,-107.64642,4225.0,16.0,118.0,hidden,,,
Mount Eolus,La Plata,37.62169,-107.6226,4264.0,18.4,118.0,hidden,,,
Turret Peak,La Plata,37.62766,-107.63984,4181.0,16.7,118.0,hidden,,,
El Diente Peak,Dolores,37.83943,-108.00534,4287.0,23.4,312.0,hidden,,,
Mount Wilson,Dolores,37.83921,-107.99158,4323.0,22.5,314.0,visible,,,
Gladstone Peak,San Miguel,37.84523,-107.98388,4212.0,22.5,316.0,visible,,,
Wilson Peak,San Miguel,37.8603,-107.98465,4261.0,23.8,319.0,visible,,,
Grizzly Peak,San Juan,37.7559,-107.86181,4176.0,8.0,322.0,visible,,,
San Miguel Peak,Dolores,37.77914,-107.86452,4173.0,10.2,330.0,visible,,,
Vermilion Peak,San Miguel,37.79934,-107.82847,4221.0,11.3,350.0,visible,,,
Golden Horn,San Juan,37.80473,-107.82465,4168.0,11.8,352.0,hidden,,,
Fuller Peak,San Juan,37.79599,-107.82129,4183.0,10.8,353.0,visible,,,
Dallas Peak,San Miguel,37.98811,-107.82368,4176.0,32.1,357.0,hidden,,,
Ulysses S Grant Peak,San Juan,37.82443,-107.80723,4172.0,13.9,360.0,hidden,,,
